Infect probabilities forecasted using arima model,
people_ID,diuresis_value
1,1770.042533
2,739.0441292
3,1680.161975
4,1648.606071
5,1583.989719
6,1566.706022
7,1340.704868
8,878.1433102
9,1292.521801
10,1048.532958
11,1525.458955
12,880.8189672
13,1629.699492
14,615.3602354
15,1559.410365
16,1045.978587
17,899.1073742
18,843.4503612
19,849.4546101
20,985.4023972
21,1065.636552
22,978.911081
23,1674.588069
24,911.9499488
25,717.0619116
26,1556.052283
27,1073.214943
28,853.7770481
29,1496.207625
30,1632.591111
31,1051.215762
32,1039.694459
33,1313.773189
34,1087.864704
35,1223.88632
36,1195.011701
37,907.1054442
38,1488.54552
39,855.6346324
40,821.396292
41,1490.455925
42,869.4627224
43,1428.193247
44,1703.751114
45,1105.192597
46,622.7305179
47,1209.450496
48,1767.738471
49,619.1797031
50,1495.955715
51,998.2245857
52,1048.591556
53,1673.328008
54,601.4522608
55,1320.346667
56,1489.837922
57,993.1591969
58,1095.865663
59,1430.472606
60,1025.717758
61,633.2841605
62,1046.016295
63,1092.158234
64,1498.280978
65,986.0807113
66,1215.005187
67,1279.03698
68,1353.100618
69,1474.752064
70,940.6402461
71,934.8422011
72,1018.062749
73,596.796086
74,1319.127927
75,1578.152418
76,1057.429649
77,1779.61167
78,1000.514012
79,1766.79692
80,1153.82848
81,1350.377952
82,755.0634512
83,1034.138629
84,1240.840748
85,704.0448312
86,1612.48108
87,847.482823
88,1057.178519
89,1189.820878
90,1171.725719
91,1583.539674
92,1696.322985
93,1276.302304
94,1707.004966
95,964.7906099
96,649.8055762
97,666.5585189
98,729.2391264
99,1438.094137
100,1458.840179
101,875.4413446
102,1585.752431
103,1060.622698
104,1379.162711
105,675.2932264
106,1474.298663
107,1016.93712
108,1175.026951
109,1449.45679
110,1090.469621
111,1667.338932
112,1332.784415
113,1385.278764
114,1610.535061
115,895.1371575
116,1154.635768
117,826.6023502
118,1103.477908
119,1549.387803
120,1411.875107
121,1395.994312
122,900.1335174
123,1090.674988
124,1242.50499
125,593.8712539
126,925.0910454
127,1772.533076
128,1012.704179
129,1082.754667
130,1512.304982
131,1248.40677
132,633.9994226
133,1657.782196
134,1655.62964
135,1457.447263
136,1489.544522
137,611.074986
138,867.7764988
139,1307.257703
140,1140.123378
141,693.4916143
142,1439.210839
143,1650.003396
144,927.7188294
145,1252.417446
146,1187.942005
147,1089.277519
148,692.3026941
149,1410.773254
150,925.1158408
151,1100.610384
152,818.9060723
153,710.4244445
154,1425.509867
155,1184.112725
156,1211.865198
157,1108.225412
158,1081.947065
159,994.4586871
160,745.195334
161,1098.55132
162,1307.941867
163,1319.930807
164,1226.358222
